iteration	cost
0	0.476593656465
20	0.200542768463
40	0.187152530998
60	0.223564118147
80	0.209095306695
100	0.166747093201
120	0.186025757343
140	0.173086881638
160	0.169925509021
180	0.15885482356
200	0.188354669139
220	0.21595404949
240	0.17168777762
260	0.169797727838
280	0.185222493485
300	0.148372502998
320	0.165827916004
340	0.132201911882
360	0.155402664095
380	0.164993431419
400	0.182382525876
420	0.178474296816
440	0.191217562184
460	0.172889655456
480	0.160029505379
500	0.194904046133
520	0.163554766215
540	0.128049785271
560	0.164083780721
580	0.178631963208
600	0.163688947447
620	0.159060546197
640	0.122954413295
660	0.167934478261
680	0.124509396963
700	0.145228612237
720	0.15845678281
740	0.18464349024
760	0.136256872211
780	0.151783466805
800	0.168354638852
820	0.158693548292
840	0.187609532848
860	0.168964146636
880	0.126468368806
900	0.150537229143
920	0.152070973068
940	0.137054468505
960	0.176783364266
980	0.124266761355
1000	0.140314586926
1020	0.141368462704
1040	0.136840634979
1060	0.144061190076
1080	0.146726395003
1100	0.127204963006
1120	0.137220242061
1140	0.155668043531
1160	0.149485945236
1180	0.135823017918
1200	0.169040627312
1220	0.154270526953
1240	0.134347928688
1260	0.160806492902
1280	0.141737574711
1300	0.158457216807
1320	0.119749054313
1340	0.134830531664
1360	0.165146065876
1380	0.159544282593
1400	0.194987199269
1420	0.173012959771
1440	0.151090692729
1460	0.184125250205
1480	0.178328537848
1500	0.139099437743
1520	0.17654358875
1540	0.154495541006
1560	0.158219305798
1580	0.159382381476
1600	0.139177224599
1620	0.129366112873
1640	0.136273216456
1660	0.139505619183
1680	0.178117260337
1700	0.126405823044
1720	0.159805173054
1740	0.142439637333
1760	0.139151543379
1780	0.126634011045
1800	0.12341507012
1820	0.124608801678
1840	0.121384161524
1860	0.0852576908655
1880	0.0960941575468
1900	0.112591774203
1920	0.0885955410777
1940	0.108113179449
1960	0.0821483570617
1980	0.0902847964317
2000	0.0873097286094
2020	0.0700882263482
2040	0.0777200255543
2060	0.06622801302
2080	0.0861271476606
2100	0.0488723975141
2120	0.0740088811144
2140	0.0845202761702
2160	0.0693820752203
2180	0.0426792134531
2200	0.0577800977044
2220	0.0703114650678
2240	0.0792124487925
2260	0.0871363866609
2280	0.0661281765206
2300	0.0683811213821
2320	0.0919827237958
2340	0.0553556561936
2360	0.0689964543562
2380	0.0386464424664
2400	0.0762460894184
2420	0.0684301118599
2440	0.0465973469545
2460	0.0777934842044
2480	0.0626959105139
2500	0.0378961662645
2520	0.0259191258228
2540	0.0514165614732
2560	0.0641445975634
2580	0.0518010732485
2600	0.047586335626
2620	0.0708991407882
2640	0.0682108532637
2660	0.0413149129017
2680	0.0281505738967
2700	0.0276380188297
2720	0.0598065240774
2740	0.0329401497147
2760	0.0552960083587
2780	0.0546470705303
2800	0.0383644162794
2820	0.056058359216
2840	0.0209247141029
2860	0.0548161980696
2880	0.0375507143908
2900	0.0241564882162
2920	0.0517145588528
2940	0.0887089898461
2960	0.0364918828709
2980	0.0729884395842
3000	0.0249523058592
3020	0.0486925509904
3040	0.0204080327676
3060	0.0369833648438
3080	0.0307081414794
3100	0.0853398712934
3120	0.021165387705
3140	0.0303045312467
3160	0.0534587672446
3180	0.060842031613
3200	0.0319237892545
3220	0.0338603542768
3240	0.0642209460784
3260	0.0308161245048
3280	0.0503747907933
3300	0.0310916353192
3320	0.06052350346
3340	0.0311107855523
3360	0.0781254546018
3380	0.0328715882788
3400	0.0947311834898
3420	0.0244884824497
3440	0.0451250619371
3460	0.0554516332923
3480	0.0657603408908
3500	0.0380102257186
3520	0.0452606380568
3540	0.0335917437624
3560	0.0544903289992
3580	0.0331575346645
3600	0.0396735777613
3620	0.0313744499581
3640	0.0709425367531
3660	0.0911936578341
3680	0.0802722294466
3700	0.0710280531785
3720	0.0925949874218
3740	0.0640823109425
3760	0.0146334012679
3780	0.0238102710573
3800	0.0493375266378
3820	0.029469477915
3840	0.0140347856213
3860	0.0303341135732
3880	0.00954707607161
3900	0.0388827808201
3920	0.0140676153242
3940	0.0371834700345
3960	0.0587099972618
3980	0.0482050253777
4000	0.0378918603528
4020	0.0648530878098
4040	0.0680570590775
4060	0.0400966049638
4080	0.0185070406587
4100	0.0482542959508
4120	0.0669648245093
4140	0.0456678079208
4160	0.034852323035
4180	0.0102375519054
4200	0.0388245996146
4220	0.0145766649512
4240	0.0751053957356
4260	0.0318343228719
4280	0.01874382596
4300	0.0758858491317
4320	0.0219884672551
4340	0.0102350834932
4360	0.0373026290617
4380	0.033440038882
4400	0.0361248205736
4420	0.0589812463149
4440	0.0463209775917
4460	0.0772815034434
4480	0.0574995534407
4500	0.0434201965109
4520	0.0449442571844
4540	0.0373490300262
4560	0.0488250894123
4580	0.0501884362602
4600	0.0252128508437
4620	0.0419803363038
4640	0.021609248317
4660	0.045114037348
4680	0.0264635579661
4700	0.0195488664613
4720	0.0824436914845
4740	0.037506855806
4760	0.0553489658341
4780	0.0512975766615
4800	0.0420427016725
4820	0.0311249046208
4840	0.0357776567107
4860	0.0201658795704
4880	0.0447356999648
4900	0.0221050473629
4920	0.0127273327962
4940	0.0388952221838
4960	0.0342059806862
4980	0.0550098153763
5000	0.0526493869838
5020	0.0206833660486
5040	0.0467586651794
5060	0.0359318341943
5080	0.0351820374781
5100	0.0507502823602
5120	0.0606522828602
5140	0.0235955896205
5160	0.0473791140248
5180	0.0244906174776
5200	0.0285363013754
5220	0.0235665307264
5240	0.0761281943414
5260	0.0857055077795
5280	0.0275600189343
5300	0.0240969715087
5320	0.0507888065185
5340	0.0288331173651
5360	0.0956133742875
5380	0.038270664867
5400	0.0550973864447
5420	0.0407283895183
5440	0.0150164354709
5460	0.0147529571113
5480	0.0166765724425
5500	0.061771454988
5520	0.0408227968292
5540	0.0620713783064
5560	0.0171189779139
5580	0.0362136725598
5600	0.0305479483213
5620	0.0879347656155
5640	0.0267392223468
5660	0.0445604429115
5680	0.0537410202669
5700	0.0236965379445
5720	0.0549824002082
5740	0.0470435453462
5760	0.0122002841672
5780	0.0478891839157
5800	0.0295510780998
5820	0.0407506914344
5840	0.0508842190902
5860	0.0388664195634
5880	0.0530566647358
5900	0.0451503345103
5920	0.0482750072842
5940	0.0158435965132
5960	0.0440956827078
5980	0.0289551218011
6000	0.071572243236
6020	0.0632722197333
6040	0.0399324111495
6060	0.0418003068626
6080	0.0184773978981
6100	0.0319435246201
6120	0.0537277839612
6140	0.0559213822416
6160	0.0620672476944
6180	0.0195618183207
6200	0.0318825667346
6220	0.0656023801421
6240	0.0175392390811
6260	0.0659048365342
6280	0.0624184623011
6300	0.0175438844308
6320	0.0601918627217
6340	0.0267316338141
6360	0.0334768223693
6380	0.0285643977113
6400	0.0456778923981
6420	0.0667855265201
6440	0.0188882842485
6460	0.0428951919239
6480	0.0266893966473
6500	0.0671971958072
6520	0.0490477397689
6540	0.0515723343997
6560	0.0258675721125
6580	0.042416137323
6600	0.0240858021134
6620	0.0421667585615
6640	0.0278963833553
6660	0.048924278788
6680	0.0423994668963
6700	0.0282441966556
6720	0.0541199359577
6740	0.0362171290617
6760	0.0318888568581
6780	0.0230036555586
6800	0.0764359191526
6820	0.0687768528587
6840	0.0280994111381
6860	0.046413944161
6880	0.0395066283818
6900	0.0342712394195
6920	0.0176677808049
6940	0.030346243846
6960	0.0614947528229
6980	0.0337954160059
7000	0.0683215105382
7020	0.0222583532086
7040	0.016117256775
7060	0.0262406449474
7080	0.0176726976497
7100	0.0171113779652
7120	0.00997542863479
7140	0.0219831252616
7160	0.0275907319447
7180	0.039078221278
7200	0.0353620894602
7220	0.0201333610676
7240	0.0403780008201
7260	0.0260505675105
7280	0.0405354624381
7300	0.0358075452677
7320	0.0140622571344
7340	0.0392888221904
7360	0.0356101290963
7380	0.0406852486776
7400	0.0838373589795
7420	0.0618026305456
7440	0.0523974250536
7460	0.036986015999
7480	0.0454876740096
7500	0.0263186582597
7520	0.0271806664241
7540	0.0327761036606
7560	0.0339994433307
7580	0.0333720225608
7600	0.025042941852
7620	0.0497743799933
7640	0.0398795316578
7660	0.0313441879407
7680	0.0267739632982
7700	0.0248637902987
7720	0.0555758587434
7740	0.0616390702053
7760	0.0435478489089
7780	0.0600882044382
7800	0.0305219318543
7820	0.0590345387172
7840	0.0142475202738
7860	0.0146168524516
7880	0.0182547620207
7900	0.0435095590656
7920	0.0374890588137
7940	0.058199044608
