Generation	Fitness	Shooting fitness	Aiming fitness
164	165.946210	99.000000	66.946211
165	225.012307	162.000000	63.012306
166	234.980552	174.500001	60.480551
167	308.797275	254.500001	54.297275
168	320.360805	268.500000	51.860805
169	317.307162	264.500001	52.807162
170	357.209509	297.999999	59.209510
171	319.086218	265.000001	54.086217
172	328.500459	274.499997	54.000463
173	339.680011	286.000001	53.680010
174	319.996495	264.499998	55.496497
175	354.168035	296.000000	58.168036
176	352.465807	292.999999	59.465807
177	328.762209	275.000003	53.762207
178	338.254265	283.500002	54.754263
179	322.229189	268.500001	53.729188
180	339.114689	283.499996	55.614693
181	331.647180	277.500001	54.147179
182	325.231262	270.999999	54.231264
183	332.498733	280.999998	51.498735
184	341.110026	284.500000	56.610026
185	346.737328	294.499997	52.237331
186	345.778580	287.500000	58.278580
187	371.583966	314.999995	56.583970
188	369.401819	315.000001	54.401818
189	377.492599	320.500000	56.992599
190	382.058162	323.499999	58.558163
191	390.126149	329.499999	60.626150
192	404.087908	343.000000	61.087908
193	397.201256	340.500001	56.701255
194	394.405450	335.499994	58.905455
195	397.340704	338.500000	58.840704
196	391.858978	333.499998	58.358980
197	381.244156	323.499996	57.744160
198	383.967062	325.000001	58.967062
199	397.729052	339.500000	58.229052
200	401.737395	344.000002	57.737393
201	391.514561	334.000000	57.514561
202	389.809396	331.999999	57.809396
203	393.930869	334.499998	59.430870
204	398.370178	341.999999	56.370180
205	398.086020	339.500001	58.586019
206	389.949475	334.000004	55.949471
207	400.805429	342.499999	58.305430
208	410.663336	352.500001	58.163334
209	420.884378	359.500003	61.384375
210	398.614397	340.000000	58.614397
211	419.557062	360.000002	59.557060
212	376.358633	321.999999	54.358634
213	396.687210	338.999999	57.687211
214	403.622184	345.500001	58.122183
215	389.755201	330.999998	58.755203
216	384.386176	326.500000	57.886175
217	392.122043	332.999997	59.122046
218	392.139523	332.500000	59.639522
