Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
345	452.164759	393.500003	58.664756	991	204	16
346	444.186866	385.000001	59.186865	903	133	15
347	466.707522	407.999996	58.707526	1,011	195	21
348	434.457906	375.499998	58.957908	866	115	18
349	483.259599	420.000000	63.259599	1,028	188	10
350	449.862410	389.000000	60.862410	966	188	16
351	447.072580	382.500003	64.572577	963	198	9
352	452.235867	398.500004	53.735863	934	137	22
353	446.861774	388.000001	58.861773	955	179	19
354	445.827993	386.999998	58.827995	930	156	18
355	463.720066	402.999998	60.720068	966	160	18
356	452.620930	388.999995	63.620935	891	113	12
357	442.748541	378.500000	64.248541	917	160	13
358	438.255860	379.999996	58.255864	928	168	21
359	473.141386	409.999998	63.141389	1,001	181	12
360	441.756075	383.999999	57.756075	966	198	19
361	443.641653	385.999998	57.641655	946	174	21
362	465.109853	402.500003	62.609849	1,003	198	14
363	451.437167	390.500003	60.937164	973	192	18
364	447.536190	387.500006	60.036184	957	182	16
365	460.665294	401.000001	59.665293	990	188	16
366	451.830777	388.500005	63.330772	956	179	11
367	447.189424	386.500001	60.689423	947	174	21
368	443.315184	384.000002	59.315182	943	175	19
369	452.591975	392.500002	60.091973	977	192	15
370	454.240857	392.499999	61.740858	977	192	14
371	492.824036	432.499996	60.324040	1,044	179	17
372	452.318619	390.499999	61.818620	932	151	15
373	490.118633	429.000001	61.118632	1,028	170	15
374	458.269003	395.999998	62.269004	993	201	14
375	451.273949	391.500000	59.773949	936	153	20
376	451.224448	392.500004	58.724445	975	190	19
377	442.748276	385.500001	57.248274	930	159	19
378	454.796153	391.000003	63.796150	908	126	8
379	457.430334	397.000001	60.430334	970	176	18
380	455.972563	395.000000	60.972563	930	140	15
381	442.743494	379.999999	62.743495	925	165	13
382	449.778099	388.499998	61.278101	965	188	13
383	465.940816	407.500001	58.440815	966	151	14
384	461.024081	399.500001	61.524081	984	185	14
385	453.326169	390.500001	62.826167	951	170	17
386	441.208369	380.999999	60.208370	931	169	16
387	438.433657	380.999999	57.433658	918	156	22
388	445.178627	384.500000	60.678627	925	156	15
389	461.883577	404.500001	57.383576	938	129	13
390	471.189822	409.500001	61.689821	989	170	15
391	443.888962	384.999999	58.888963	884	114	17
392	452.496373	395.000001	57.496372	952	162	25
393	459.014357	395.500000	63.514357	911	120	10
394	463.625768	402.499997	61.125771	964	159	21
395	477.527708	416.999996	60.527712	915	81	12
396	457.725780	395.499998	62.225783	983	192	14
397	466.353920	406.000007	60.353913	947	135	14
398	443.437842	382.999999	60.437843	908	142	14
399	469.925905	407.499999	62.425906	911	96	12
400	472.078114	413.499998	58.578116	916	89	16
