Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	45.873256	4.000000	41.873256	585	577	8
2	53.613162	3.000000	50.613162	514	508	18
3	52.440930	7.000000	45.440930	611	597	3
4	53.547837	3.000000	50.547837	595	589	11
5	47.342878	4.500000	42.842878	545	536	10
6	53.560637	5.500000	48.060637	606	595	15
7	47.951552	9.000000	38.951552	600	582	0
8	51.849424	6.500000	45.349424	543	530	11
9	47.890409	2.500000	45.390409	540	535	17
10	51.297916	9.500000	41.797915	570	551	5
11	50.578877	0.500000	50.078877	9	8	29
12	52.110849	1.500000	50.610849	34	31	27
13	54.030660	6.000000	48.030660	155	143	80
14	52.538472	10.000000	42.538471	588	568	3
15	57.937742	8.500000	49.437742	478	461	22
16	49.701360	3.500000	46.201360	91	84	94
17	52.288907	7.500000	44.788907	591	576	1
18	54.537235	10.500000	44.037235	493	472	20
19	54.566140	7.000000	47.566140	545	531	10
20	54.782614	6.500000	48.282614	600	587	0
21	53.020171	4.500000	48.520171	352	343	23
22	56.361792	5.500000	50.861792	580	569	7
23	53.556406	2.500000	51.056406	602	597	5
24	55.126756	5.500000	49.626756	574	563	0
25	59.797669	7.000000	52.797669	544	530	5
26	61.617029	8.000000	53.617029	542	526	6
27	57.069051	5.000000	52.069051	503	493	21
28	53.239742	5.000000	48.239741	612	602	0
29	55.194664	2.000000	53.194664	603	599	1
30	56.513191	3.000000	53.513191	541	535	14
31	56.454571	6.500000	49.954571	570	557	6
32	56.405632	9.000000	47.405631	600	582	0
33	56.817097	8.500000	48.317097	602	585	1
34	54.211236	5.500000	48.711236	543	532	5
35	60.408969	10.500000	49.908969	399	378	56
36	57.908337	4.500000	53.408337	483	474	16
37	58.846765	10.500000	48.346765	303	282	73
38	57.546652	9.000000	48.546652	571	553	5
39	58.461062	5.000000	53.461061	600	590	0
40	57.324200	5.500000	51.824200	571	560	5
41	57.025587	9.000000	48.025587	600	582	0
42	56.404737	5.500000	50.904737	542	531	10
43	55.289927	8.000000	47.289927	571	555	5
44	55.931780	11.000000	44.931780	571	549	5
45	60.238009	8.000000	52.238008	599	583	0
46	56.875410	7.000000	49.875410	600	586	7
47	55.272845	4.500000	50.772845	600	591	0
48	56.392607	6.000000	50.392606	600	588	0
49	60.914235	8.000000	52.914236	600	584	0
50	59.669183	12.000001	47.669182	367	343	64
51	56.349867	8.500000	47.849867	212	195	87
52	57.911499	4.500000	53.411499	593	584	14
53	55.377621	8.000000	47.377621	600	584	0
54	58.106540	5.500000	52.606539	600	589	0
55	55.940726	7.000000	48.940726	600	586	0
56	55.128124	4.000000	51.128124	600	592	0
57	56.330695	2.500000	53.830695	600	595	0
58	58.807750	6.500000	52.307750	597	584	0
59	59.747764	7.500000	52.247764	602	587	0
60	58.972883	6.500000	52.472883	630	617	0
61	59.106297	10.000000	49.106297	633	613	0
62	57.472578	5.000000	52.472578	599	589	0
63	57.164464	5.500000	51.664464	600	589	0
64	61.558519	7.000000	54.558519	600	586	0
65	58.537189	8.500000	50.037189	603	586	0
66	61.068887	8.500000	52.568886	628	611	2
67	58.973797	13.000000	45.973798	313	287	75
68	60.234986	8.000000	52.234986	600	584	0
69	58.658758	8.500000	50.158758	655	638	2
70	59.907102	6.000000	53.907103	596	584	0
71	65.568328	12.000000	53.568328	600	576	0
72	59.972269	5.000000	54.972269	595	585	0
73	59.884396	7.000000	52.884397	600	586	0
74	64.947494	12.500000	52.447494	600	575	1
75	68.102612	10.000000	58.102612	578	558	1
76	63.806603	5.499999	58.306604	600	589	0
77	61.333094	11.500000	49.833093	659	636	1
78	60.492707	5.500000	54.992707	596	585	0
79	60.992070	6.000000	54.992069	600	588	0
80	64.209979	6.500000	57.709979	600	587	0
81	60.748523	6.000000	54.748523	600	588	0
82	61.758853	7.500000	54.258854	600	585	0
83	62.947614	5.500001	57.447614	600	589	0
84	63.025535	5.500000	57.525534	599	588	0
85	62.143513	8.500000	53.643513	597	580	0
86	70.561083	10.000000	60.561083	600	580	0
87	68.399386	9.000000	59.399386	600	582	0
88	62.359523	6.500000	55.859523	600	587	0
89	63.470377	5.500000	57.970378	600	589	0
90	64.906817	7.500000	57.406817	597	582	0
91	64.808282	7.500001	57.308282	600	585	0
92	62.659353	7.000000	55.659353	600	586	0
93	65.308911	8.000000	57.308911	600	584	0
94	63.939008	8.000000	55.939009	600	584	0
95	65.341671	9.500000	55.841671	600	581	0
96	64.708333	6.500000	58.208333	600	587	0
97	64.651943	7.500000	57.151943	600	585	0
98	63.931879	7.000000	56.931878	600	586	0
99	64.007109	6.500000	57.507110	598	585	0
100	60.613143	4.500000	56.113143	594	585	0
101	63.523603	5.500000	58.023603	598	587	0
102	64.820238	9.000000	55.820238	600	582	0
103	65.515346	11.500000	54.015346	609	586	1
104	63.584315	7.000000	56.584314	600	586	0
105	64.649900	5.500000	59.149900	600	589	0
106	63.237908	7.000000	56.237908	600	586	0
107	61.265237	3.500000	57.765237	599	592	0
108	62.780076	10.000000	52.780076	600	580	2
109	65.669015	15.500000	50.169016	649	618	3
110	62.008740	5.500000	56.508740	600	589	0
111	62.360223	7.000000	55.360223	600	586	0
112	64.073617	7.499999	56.573617	600	585	0
113	61.173213	4.500000	56.673214	599	590	0
114	61.215458	6.500000	54.715458	600	587	0
115	64.751684	8.500000	56.251684	600	583	0
116	68.952613	7.500000	61.452614	600	585	0
117	62.573526	4.500000	58.073526	600	591	0
118	65.512388	11.000000	54.512388	612	590	2
119	64.072619	8.000000	56.072619	600	584	0
120	63.974786	7.000000	56.974785	600	586	0
121	64.348302	5.500000	58.848302	600	589	0
122	62.057246	5.500000	56.557246	600	589	0
123	63.915623	7.000000	56.915623	600	586	0
124	63.957923	7.500000	56.457923	600	585	0
125	63.718775	12.000000	51.718775	635	611	0
126	62.721749	8.499999	54.221749	600	583	0
127	63.268634	5.000000	58.268634	600	590	0
128	63.667600	5.500000	58.167600	600	589	0
129	65.293828	7.000000	58.293828	600	586	0
130	64.121151	3.500000	60.621151	600	593	0
131	67.792394	6.000000	61.792394	599	587	0
132	67.939419	9.000000	58.939419	600	582	0
133	66.071473	4.000000	62.071474	600	592	0
134	71.762523	18.500000	53.262523	741	704	0
135	70.714337	15.500000	55.214336	676	645	0
136	72.898439	16.000000	56.898439	695	663	0
137	67.211115	5.500000	61.711115	600	589	0
138	66.287276	10.000000	56.287276	627	607	0
139	76.151976	18.500000	57.651976	726	689	0
140	68.533126	11.000000	57.533126	618	596	0
141	68.943891	8.000000	60.943891	600	584	0
142	70.839652	10.000000	60.839652	600	580	0
143	70.426078	7.000000	63.426079	600	586	0
144	73.477872	22.500000	50.977872	816	771	0
145	68.652910	9.999999	58.652911	600	580	0
146	71.868892	8.500000	63.368892	600	583	0
147	68.635482	5.500000	63.135482	600	589	0
148	68.840301	7.000000	61.840301	600	586	0
149	67.641685	6.000000	61.641685	600	588	0
150	70.072960	9.000000	61.072960	600	582	0
151	67.732589	4.500000	63.232589	600	591	0
152	68.442995	4.500000	63.942995	600	591	0
153	64.696654	13.500000	51.196654	688	661	0
154	67.984120	15.000000	52.984120	697	667	0
155	64.872890	6.000000	58.872890	600	588	0
156	66.140080	15.000000	51.140080	677	647	0
157	71.590249	8.500000	63.090249	600	583	0
158	72.821279	14.000000	58.821279	680	652	0
159	67.497719	5.000000	62.497719	600	590	0
