Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
490	170.127794	101.500000	68.627794	748	545	5
491	167.904915	100.499999	67.404916	678	477	9
492	176.822147	108.000000	68.822146	726	510	2
493	171.844780	103.499999	68.344780	699	492	6
494	165.309869	98.499999	66.809871	602	405	10
495	162.615470	94.000001	68.615469	602	414	11
496	168.906688	102.000002	66.906686	608	404	10
497	173.252283	104.999998	68.252285	671	461	10
498	168.304733	104.000000	64.304732	488	280	11
499	172.412895	107.500000	64.912896	553	338	10
