Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
138	68.953796	14.500000	54.453796	628	599	4
139	76.374667	18.500000	57.874666	714	677	0
140	68.702416	16.000000	52.702415	751	719	0
141	70.812731	21.000000	49.812731	671	629	4
142	71.252209	16.500000	54.752210	733	700	0
143	72.745566	21.999999	50.745567	775	731	0
144	68.538634	18.500000	50.038634	640	603	16
145	71.885874	16.500000	55.385874	735	702	0
146	79.149363	25.000001	54.149362	638	588	9
147	70.899400	14.500000	56.399400	717	688	1
148	71.241329	16.000000	55.241329	729	697	0
149	74.669852	19.500000	55.169852	714	675	0
150	66.887882	14.000000	52.887881	699	671	0
151	71.585400	17.500000	54.085400	655	620	2
152	70.770983	17.999999	52.770984	691	655	1
153	69.652070	14.500000	55.152070	548	519	11
154	66.797219	11.500000	55.297219	677	654	0
155	68.458225	16.499999	51.958225	757	724	0
156	74.084425	16.000000	58.084425	527	495	18
157	70.699338	14.500000	56.199337	531	502	18
158	74.315408	20.499999	53.815408	445	404	28
159	72.390042	19.500001	52.890041	413	374	42
160	70.684915	14.500001	56.184914	707	678	0
161	70.211863	16.500000	53.711863	511	478	27
162	73.735750	17.000000	56.735750	454	420	27
163	72.936002	16.000000	56.936002	503	471	28
164	71.627145	18.000000	53.627145	554	518	16
165	67.042573	13.000000	54.042573	551	525	16
166	66.111205	13.000000	53.111205	637	611	11
167	71.685398	17.000000	54.685398	608	574	7
168	71.144750	17.999999	53.144750	653	617	15
169	72.840706	16.000000	56.840706	616	584	17
170	71.036838	17.000000	54.036838	638	604	17
171	76.900959	20.999999	55.900960	628	586	16
172	73.672538	17.500000	56.172539	598	563	4
173	78.246227	25.500000	52.746227	809	758	0
174	80.122389	23.500000	56.622389	784	737	1
175	81.326583	26.499999	54.826584	788	735	0
176	80.775826	30.000000	50.775826	932	872	0
177	80.325040	29.500001	50.825039	941	882	0
178	75.678699	24.500000	51.178699	880	831	0
179	81.316799	26.500000	54.816799	883	830	0
180	78.489633	29.500000	48.989633	884	825	1
181	79.590277	22.999999	56.590278	864	818	1
182	89.921529	31.500000	58.421529	783	720	0
183	85.347845	27.500000	57.847845	877	822	1
184	86.865804	32.500000	54.365804	945	880	0
185	83.333086	29.499999	53.833087	821	762	0
186	80.670477	24.000001	56.670476	860	812	0
187	79.295417	25.500000	53.795417	888	837	1
188	82.680497	25.500000	57.180497	768	717	1
189	75.840775	21.000000	54.840774	873	831	2
190	80.420099	25.500000	54.920099	833	782	2
191	78.865616	25.000000	53.865615	884	834	1
192	92.329092	35.500000	56.829092	898	827	1
193	81.379847	27.000001	54.379846	893	839	0
194	83.684647	27.000000	56.684647	860	806	0
195	82.806656	29.500000	53.306657	906	847	0
196	86.456431	30.500000	55.956432	974	913	0
197	82.649681	28.000000	54.649681	966	910	0
198	82.837184	28.500001	54.337183	928	871	0
199	80.733607	26.500000	54.233607	748	695	0
200	80.959596	27.500000	53.459596	907	852	0
201	81.350794	24.499999	56.850795	817	768	0
202	78.672805	24.000000	54.672805	874	826	0
203	87.033994	22.500000	64.533994	628	583	7
204	83.259071	26.500000	56.759071	802	749	0
205	82.994922	27.499999	55.494923	892	837	0
206	82.573403	28.999999	53.573404	891	833	0
207	89.250351	33.500001	55.750350	925	858	0
208	84.999654	33.000000	51.999654	927	861	0
209	83.070220	30.499999	52.570221	775	714	2
210	83.640731	27.500000	56.140731	886	831	0
211	86.408458	27.500000	58.908459	749	694	1
212	85.493664	30.000000	55.493665	993	933	0
213	88.453285	35.500000	52.953286	1,031	960	0
214	79.527389	24.500000	55.027388	802	753	0
215	79.207542	24.000000	55.207542	862	814	0
216	81.776562	25.000000	56.776561	790	740	0
217	82.381920	25.000000	57.381921	846	796	0
218	87.685669	28.500000	59.185669	714	657	11
219	80.449269	25.000000	55.449269	592	542	15
220	88.884615	34.000000	54.884614	934	866	0
221	84.850148	26.500001	58.350147	778	725	0
222	84.849393	22.500000	62.349393	637	592	11
223	85.242381	28.500001	56.742380	825	768	0
224	86.912821	27.500000	59.412820	873	818	2
225	84.736861	28.499999	56.236862	890	833	0
226	86.590462	28.500000	58.090461	823	766	1
227	87.014850	27.000000	60.014850	676	622	11
228	83.657708	30.500000	53.157708	885	824	1
229	81.406251	25.500000	55.906252	925	874	0
230	81.441527	27.000000	54.441527	910	856	1
231	80.048075	25.500000	54.548075	815	764	1
232	89.044448	31.500001	57.544447	843	780	1
233	86.702032	29.000000	57.702031	916	858	0
234	83.097262	28.000000	55.097262	868	812	0
235	86.422186	33.500000	52.922187	927	860	0
236	84.821929	29.000000	55.821929	828	770	0
