Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
328	457.583344	399.500003	58.083341	917	118	12
329	460.913152	402.999999	57.913153	921	115	0
330	458.822375	395.000002	63.822374	875	85	4
331	450.674597	386.000002	64.674595	843	71	11
332	487.246115	426.000000	61.246115	992	140	0
333	470.916730	411.000000	59.916730	954	132	0
334	468.311952	405.000005	63.311947	890	80	13
335	466.799939	401.000003	65.799936	912	110	7
336	475.282815	418.999999	56.282816	958	120	23
337	476.749859	420.499998	56.249861	986	145	1
338	485.928528	422.000007	63.928520	986	142	1
339	495.649397	436.499995	59.149402	997	124	17
340	497.698042	435.999997	61.698046	998	126	11
341	469.883939	411.999995	57.883944	945	121	12
342	480.102737	418.000003	62.102735	931	95	15
343	500.668123	439.499996	61.168127	1,031	152	1
344	485.959410	428.999997	56.959413	1,219	361	0
345	471.979328	413.000004	58.979324	1,093	267	2
346	471.936386	412.499995	59.436391	925	100	10
347	474.758580	411.000005	63.758575	949	127	11
348	517.135530	455.000006	62.135524	1,148	238	2
349	497.493114	439.499998	57.993116	1,169	290	0
350	486.541036	425.500000	61.041037	969	118	8
351	491.343909	433.500002	57.843906	1,140	273	1
352	478.313650	417.000000	61.313650	969	135	10
353	485.776866	426.499996	59.276870	972	119	1
354	485.195753	427.000000	58.195753	988	134	21
355	479.559028	415.999994	63.559034	1,044	212	0
356	485.863177	425.000001	60.863177	987	137	17
357	489.919005	426.999999	62.919005	949	95	8
358	487.183365	427.500006	59.683359	951	96	7
359	497.548769	434.499999	63.048771	964	95	8
360	495.493034	433.999998	61.493036	988	120	9
361	513.605205	448.000002	65.605202	1,047	151	9
362	478.811855	419.999999	58.811856	945	105	6
363	492.550639	432.500007	60.050632	1,117	252	4
364	506.709479	440.999999	65.709480	1,081	199	0
365	477.797216	417.999997	59.797219	1,013	177	0
366	486.107155	425.500003	60.607153	974	123	0
367	527.183533	465.499998	61.683535	1,211	280	0
368	494.788090	434.500001	60.288089	1,117	248	3
369	507.504446	445.999999	61.504448	1,121	229	0
370	482.161549	419.999999	62.161550	963	123	0
371	495.535054	437.999998	57.535056	1,013	137	0
372	538.502870	481.499993	57.002877	1,125	162	0
373	501.568147	442.500000	59.068146	1,155	270	4
374	481.274728	419.500004	61.774724	952	113	0
375	503.617098	442.000004	61.617094	1,010	126	0
376	487.900720	430.499999	57.400722	1,010	149	0
377	477.805055	416.499996	61.305059	972	139	0
378	495.174036	435.500000	59.674037	1,135	264	2
379	495.042307	433.000003	62.042303	1,115	249	2
380	483.627470	423.999997	59.627473	972	124	1
381	497.230967	442.000006	55.230961	1,002	118	0
382	460.760192	402.500002	58.260189	902	97	2
383	479.858942	420.500000	59.358941	1,107	266	1
384	483.081723	422.500000	60.581723	1,116	271	0
385	473.611850	412.500003	61.111847	930	105	1
386	492.279634	432.000002	60.279632	998	134	0
387	494.849738	435.999994	58.849744	1,144	272	0
388	483.035564	424.500000	58.535564	978	129	0
389	538.393225	474.999995	63.393230	1,084	134	13
390	483.223354	422.999994	60.223360	1,153	307	2
391	512.618446	449.999998	62.618447	1,144	244	0
392	502.009810	439.500004	62.509805	1,025	146	7
393	480.344559	421.499998	58.844561	943	100	20
394	487.079379	422.499996	64.579383	993	148	0
395	477.801135	415.000001	62.801134	914	84	11
396	496.973178	436.500002	60.473177	1,134	261	1
397	486.524938	423.999999	62.524940	961	113	5
398	484.972227	426.500003	58.472224	1,152	299	1
399	494.756549	435.000003	59.756546	1,007	137	0
400	472.767207	412.999993	59.767213	901	75	10
401	500.156603	440.499998	59.656605	996	115	6
402	484.231184	423.499996	60.731188	912	65	13
403	488.361105	429.000004	59.361101	944	86	10
404	503.914857	444.000004	59.914853	982	94	5
405	500.402136	438.000000	62.402137	1,017	141	0
406	509.354648	449.000002	60.354646	1,027	129	0
407	480.486757	414.999997	65.486761	945	115	5
408	512.717317	447.000004	65.717314	971	77	9
409	489.407538	428.000000	61.407538	985	129	7
410	477.798659	416.500006	61.298653	912	79	10
411	508.502799	443.499996	65.002803	1,010	123	5
412	511.429635	446.499999	64.929636	1,128	235	2
413	520.630323	459.000002	61.630321	1,160	242	1
414	507.829503	446.499999	61.329503	993	100	11
415	480.598726	421.000002	59.598724	966	124	11
416	480.691034	419.500002	61.191032	987	148	0
417	496.497035	438.000001	58.497034	997	121	11
418	526.396279	464.000000	62.396279	1,022	94	8
419	484.410847	422.000000	62.410848	986	142	8
420	468.241559	405.000002	63.241557	948	138	5
421	501.777260	445.500003	56.277256	1,159	268	0
422	480.454590	420.499997	59.954593	908	67	7
423	494.493835	431.499997	62.993838	967	104	17
424	503.585829	440.000002	63.585828	971	91	8
425	489.578177	430.000005	59.578172	1,007	147	0
426	474.960091	410.500001	64.460090	921	100	12
427	496.516064	436.500002	60.016062	988	115	9
428	490.563155	427.999998	62.563158	939	83	12
429	519.576041	455.999997	63.576044	1,012	100	9
430	519.514214	459.999999	59.514214	1,088	168	0
431	482.422678	418.500000	63.922677	923	86	7
432	457.272049	399.999999	57.272050	910	110	11
433	489.302685	430.999998	58.302686	967	105	13
434	478.312468	418.000001	60.312467	994	158	0
435	480.068236	422.999999	57.068237	1,000	154	11
436	486.389952	426.500004	59.889948	1,097	244	2
437	492.463946	435.000000	57.463946	1,012	142	0
438	492.371933	432.000000	60.371933	1,088	224	1
439	516.745211	456.499995	60.245216	1,060	147	0
440	481.148621	418.500003	62.648618	957	120	5
441	499.687418	439.000000	60.687419	1,129	251	1
442	507.111825	446.499995	60.611829	1,126	233	1
