Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	42.633336	5.500000	37.133336	374	363	38
2	46.749341	5.000000	41.749342	307	297	37
3	49.412451	15.000000	34.412451	325	295	41
4	53.096175	9.000000	44.096175	339	321	23
5	47.290762	5.000000	42.290762	509	499	17
6	47.331831	4.000000	43.331831	398	390	21
7	47.532116	5.000000	42.532116	218	208	75
8	50.667629	10.000000	40.667629	316	296	58
9	50.872904	9.000001	41.872904	403	385	18
10	51.017907	10.499999	40.517908	388	367	33
11	51.755141	21.500000	30.255141	600	557	0
12	52.386629	11.500000	40.886629	600	577	0
13	56.072058	14.000000	42.072057	600	572	0
14	54.363899	13.000000	41.363899	600	574	0
15	62.922427	21.500001	41.422426	600	557	0
16	58.000503	18.000001	40.000503	600	564	0
17	50.242082	6.500000	43.742082	600	587	0
18	61.787173	17.500000	44.287174	600	565	0
19	64.633704	25.000001	39.633703	600	550	0
20	64.473716	23.499999	40.973717	600	553	0
21	59.776481	17.499999	42.276481	600	565	0
22	58.185322	12.999999	45.185322	600	574	0
23	55.153821	11.999999	43.153822	600	576	0
24	58.393229	10.500000	47.893229	600	579	0
25	57.725651	11.500000	46.225651	600	577	0
26	64.292558	20.000000	44.292558	600	560	0
27	64.976059	18.000001	46.976058	600	564	0
28	61.543702	16.000000	45.543702	600	568	0
29	64.295025	25.499999	38.795026	600	549	0
30	61.506526	17.500000	44.006526	600	565	1
31	69.018603	24.000000	45.018603	600	552	0
32	72.829971	24.000000	48.829971	600	552	0
33	73.914107	30.000000	43.914107	600	540	0
34	75.595644	26.500000	49.095644	600	547	0
35	65.585645	21.000000	44.585646	600	558	0
36	76.847507	29.000001	47.847506	600	542	0
37	72.785789	26.000000	46.785789	600	548	0
38	75.171642	26.500000	48.671642	600	547	0
39	69.927799	22.000001	47.927798	600	556	0
40	65.886269	25.000000	40.886268	600	550	0
41	78.107183	29.000000	49.107184	600	542	0
42	71.728552	28.500001	43.228551	600	543	0
43	63.658916	18.000001	45.658915	600	564	0
44	62.005484	18.000001	44.005483	600	564	0
45	72.265398	20.000000	52.265398	600	560	0
46	65.806046	15.000000	50.806046	600	570	0
47	74.448138	28.999999	45.448138	600	542	0
48	70.963911	25.499999	45.463911	600	549	0
49	80.177382	26.000000	54.177381	600	548	0
50	75.302100	26.000000	49.302100	600	548	1
51	74.531880	21.500000	53.031880	600	557	1
52	76.575518	28.500000	48.075518	600	543	0
53	76.157179	25.500000	50.657178	600	549	0
54	83.886173	42.500001	41.386172	600	515	0
55	82.289495	34.500000	47.789495	600	531	0
56	82.874656	31.500001	51.374655	600	537	0
57	88.639433	37.500000	51.139432	600	525	0
58	80.329110	34.000000	46.329110	600	532	0
59	82.164759	32.500000	49.664760	600	535	0
60	85.119708	42.499999	42.619709	600	515	0
61	86.491392	35.999999	50.491393	600	528	0
62	76.955094	22.500000	54.455093	600	555	0
63	86.462142	45.000001	41.462141	600	510	0
64	83.449857	40.000000	43.449857	600	520	0
65	79.067410	30.000001	49.067410	600	540	0
66	90.083221	41.000000	49.083220	600	518	0
67	79.194309	37.500000	41.694309	600	525	0
68	77.202748	30.999999	46.202749	600	538	0
69	91.059473	41.500000	49.559473	600	517	0
70	106.471816	54.000000	52.471815	600	492	0
71	75.484927	26.000000	49.484926	600	548	0
72	83.648079	30.000000	53.648078	600	540	0
73	84.246514	31.000000	53.246513	600	538	0
74	107.525182	55.000000	52.525182	600	490	0
75	99.232113	52.000001	47.232112	600	496	0
76	92.781627	46.000000	46.781627	600	508	0
77	88.236531	39.000000	49.236531	600	522	0
78	93.363326	43.500000	49.863326	600	513	0
79	97.900737	43.999999	53.900738	599	511	0
80	90.087825	42.500001	47.587824	600	515	0
81	93.442811	39.000000	54.442811	600	522	0
82	91.220358	34.500000	56.720358	600	531	0
83	96.706016	44.500000	52.206016	600	511	0
84	100.614470	48.499999	52.114471	600	503	0
85	88.735962	41.000000	47.735962	600	518	0
86	97.572950	44.999999	52.572951	600	510	0
87	98.468615	48.000000	50.468615	600	504	0
88	97.885610	39.000000	58.885610	600	522	0
89	85.659876	31.999999	53.659877	600	536	0
90	89.691584	37.500000	52.191584	600	525	0
91	100.055917	42.000000	58.055917	600	516	0
92	89.301817	39.999999	49.301818	600	520	0
93	96.910573	49.000001	47.910573	600	502	0
94	89.115406	35.999998	53.115408	600	528	0
95	104.473649	47.000001	57.473648	600	506	0
96	97.606045	40.500000	57.106045	600	519	0
97	101.205138	59.999999	41.205139	684	564	2
98	96.873512	45.999999	50.873513	600	508	0
99	94.697318	37.999999	56.697319	600	524	0
100	86.353471	42.499999	43.853472	600	515	0
101	96.662089	39.000000	57.662089	600	522	0
102	100.178645	45.000001	55.178643	600	510	0
103	111.129500	52.000000	59.129500	600	496	0
104	96.972672	50.500002	46.472671	551	450	21
105	100.445687	51.500001	48.945686	600	497	0
106	97.783283	59.999999	37.783285	467	347	42
107	107.112439	65.000001	42.112438	459	329	39
108	97.687744	43.000000	54.687744	600	514	0
109	102.752765	55.500000	47.252766	600	489	0
110	97.342304	46.000001	51.342303	600	508	0
111	91.663094	40.000001	51.663093	600	520	0
112	98.009930	54.999999	43.009931	558	448	27
