Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	47.1529456667	2.33333333333	44.8196126667	463.666666667	459.0	0.0	
2	50.9185176667	4.33333333333	46.5851846667	594.0	585.333333333	0.333333333333	
3	54.0678886667	7.5	46.5678886667	531.666666667	516.666666667	0.0	
4	53.5702573333	4.5	49.0702573333	600.0	591.0	1.0	
5	55.2911706667	7.16666666667	48.124504	589.333333333	575.0	2.0	
6	53.8021403333	3.83333333333	49.968807	600.0	592.333333333	0.333333333333	
7	55.0227723333	5.5	49.522772	600.0	589.0	0.333333333333	
8	53.9517716667	4.66666666667	49.285105	590.0	580.666666667	2.33333333333	
9	55.422906	4.5	50.922906	600.0	591.0	0.0	
10	53.278341	5.33333333333	47.945008	600.0	589.333333333	0.333333333333	
11	54.1669813333	4.33333333333	49.8336476667	600.0	591.333333333	0.0	
12	58.5725546667	8.0	50.5725546667	590.0	574.0	0.0	
13	53.7003303333	6.0	47.7003303333	600.0	588.0	0.333333333333	
14	54.2938866667	7.66666666667	46.62722	572.0	556.666666667	5.66666666667	
15	59.2686126667	8.83333333333	50.4352796667	600.333333333	582.666666667	0.333333333333	
16	56.1748116667	9.16666666667	47.0081446667	600.0	581.666666667	0.666666666667	
17	55.3951313333	6.5	48.8951306667	590.0	577.0	2.0	
18	55.3983873333	6.66666666667	48.7317203333	587.333333333	574.0	5.66666666667	
19	57.805479	8.16666666667	49.6388123333	570.0	553.666666667	0.333333333333	
20	58.9102393333	10.1666666667	48.743573	530.0	509.666666667	13.0	
21	57.7856833333	7.33333333333	50.45235	580.0	565.333333333	1.66666666667	
22	57.7721946667	7.0	50.7721946667	560.0	546.0	4.66666666667	
23	56.108536	4.83333333333	51.2752026667	330.0	320.333333333	14.3333333333	
24	60.085662	8.66666666667	51.4189956667	560.0	542.666666667	4.66666666667	
25	59.012433	8.66666666667	50.3457663333	600.0	582.666666667	0.0	
26	57.166282	7.0	50.1662823333	590.0	576.0	6.66666666667	
27	59.1272123333	9.66666666667	49.4605456667	540.0	520.666666667	8.66666666667	
28	60.268481	11.0	49.2684806667	653.0	631.0	0.333333333333	
