Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	44.8122863333	2.83333333333	41.978953	401.0	395.333333333	13.3333333333	
2	48.4923636667	3.0	45.4923636667	524.666666667	518.666666667	10.3333333333	
3	48.2128476667	4.16666666667	44.0461806667	569.333333333	561.0	4.0	
4	50.0302026667	4.16666666667	45.863536	590.0	581.666666667	8.33333333333	
5	48.1834593333	4.33333333333	43.850126	552.666666667	544.0	7.66666666667	
6	49.686756	3.5	46.186756	406.333333333	399.333333333	31.3333333333	
7	48.9359746667	6.83333333333	42.1026413333	566.333333333	552.666666667	1.66666666667	
8	50.211063	4.33333333333	45.8777296667	513.666666667	505.0	17.0	
9	47.4808083333	2.5	44.9808083333	481.333333333	476.333333333	16.0	
10	49.3217053333	4.5	44.821705	361.333333333	352.333333333	20.6666666667	
11	48.6132856667	3.0	45.6132856667	380.0	374.0	15.6666666667	
12	48.7495193333	3.0	45.7495193333	362.333333333	356.333333333	15.6666666667	
13	49.8129126667	4.5	45.3129126667	461.0	452.0	28.6666666667	
14	49.3333876667	6.5	42.8333873333	597.333333333	584.333333333	3.0	
15	52.4450036667	5.83333333333	46.6116703333	565.333333333	553.666666667	9.33333333333	
16	49.2673956667	4.50000033333	44.7673953333	420.0	411.0	38.3333333333	
17	50.5212823333	6.66666666667	43.8546156667	578.666666667	565.333333333	4.66666666667	
18	49.835279	4.83333333333	45.0019456667	476.333333333	466.666666667	27.0	
19	51.0128473333	5.0	46.0128476667	560.0	550.0	3.33333333333	
20	50.5845626667	4.83333333333	45.7512293333	604.333333333	594.666666667	3.0	
21	53.340487	5.66666666667	47.6738196667	446.333333333	435.0	12.0	
22	54.204836	4.66666666667	49.5381693333	557.333333333	548.0	2.33333333333	
23	50.852177	5.16666666667	45.6855103333	572.0	561.666666667	7.0	
24	51.6278716667	4.5	47.1278713333	571.666666667	562.666666667	0.666666666667	
25	52.486916	6.0	46.486916	567.333333333	555.333333333	2.33333333333	
26	54.3092883333	5.5	48.8092883333	568.333333333	557.333333333	6.0	
27	51.8791823333	3.83333333333	48.045849	551.666666667	544.0	8.66666666667	
28	50.2867456667	4.0	46.2867453333	548.333333333	540.333333333	0.333333333333	
29	50.884421	3.66666666667	47.217754	601.333333333	594.0	4.33333333333	
30	51.0952146667	2.66666666667	48.428548	565.666666667	560.333333333	7.0	
31	52.2749826667	5.16666666667	47.108316	605.0	594.666666667	3.0	
32	51.9686396667	5.83333333333	46.135306	568.666666667	557.0	3.0	
33	52.5018236667	6.0	46.5018233333	484.0	472.0	12.3333333333	
34	51.0175826667	4.83333333333	46.1842496667	580.666666667	571.0	6.0	
35	53.8732423333	6.83333333333	47.039909	546.333333333	532.666666667	21.0	
36	52.7444456667	7.166667	45.5777786667	554.0	539.666666667	6.66666666667	
37	53.7150493333	10.1666666667	43.5483826667	423.666666667	403.333333333	29.0	
38	53.8798583333	7.83333333333	46.046525	542.0	526.333333333	7.66666666667	
39	52.7879413333	5.66666666667	47.1212743333	617.0	605.666666667	2.0	
40	51.996125	4.83333333333	47.1627916667	610.666666667	601.0	5.0	
41	52.819041	8.0	44.819041	570.0	554.0	4.33333333333	
42	52.158181	5.166667	46.9915136667	610.0	599.666666667	6.33333333333	
43	52.9023146667	4.66666666667	48.235648	533.666666667	524.333333333	10.6666666667	
44	51.454281	6.0	45.454281	502.0	490.0	14.0	
45	53.8613383333	6.33333333333	47.5280043333	557.333333333	544.666666667	5.0	
46	52.368108	4.5	47.868108	376.0	367.0	23.3333333333	
47	54.3202626667	3.16666666667	51.153596	401.333333333	395.0	19.3333333333	
48	52.5777336667	6.33333333333	46.2444003333	551.0	538.333333333	11.3333333333	
49	56.6030076667	7.666667	48.936341	629.666666667	614.333333333	7.0	
50	55.4106576667	9.33333333333	46.0773243333	597.666666667	579.0	36.3333333333	
51	56.7900056667	10.0000003333	46.7900056667	446.333333333	426.333333333	39.0	
52	58.776075	8.33333333333	50.4427416667	553.666666667	537.0	19.6666666667	
53	56.8724986667	8.83333333333	48.0391653333	499.666666667	482.0	23.6666666667	
54	54.672366	7.0	47.6723656667	516.0	502.0	21.6666666667	
55	54.989973	7.66666666667	47.3233066667	585.666666667	570.333333333	11.0	
56	55.9735753333	8.16666633333	47.806909	597.666666667	581.333333333	13.0	
57	57.1413843333	8.166667	48.9747176667	574.333333333	558.0	20.3333333333	
58	57.3714113333	8.33333366667	49.0380776667	554.0	537.333333333	31.6666666667	
59	56.4275703333	8.66666633333	47.7609036667	672.0	654.666666667	15.3333333333	
60	56.7013176667	8.66666666667	48.034651	626.0	608.666666667	17.0	
61	57.8798416667	10.3333333333	47.5465083333	692.333333333	671.666666667	16.6666666667	
62	56.1431176667	9.66666666667	46.476451	609.333333333	590.0	17.6666666667	
63	55.3325876667	7.66666666667	47.6659206667	691.666666667	676.333333333	17.6666666667	
64	58.7885616667	9.00000033333	49.7885613333	626.0	608.0	16.3333333333	
65	57.6010416667	10.1666673333	47.4343743333	681.666666667	661.333333333	15.3333333333	
66	57.7756346667	9.33333333333	48.442301	672.333333333	653.666666667	14.3333333333	
67	55.8597146667	9.83333333333	46.0263816667	560.333333333	540.666666667	41.6666666667	
68	57.4388803333	10.0	47.4388803333	670.0	650.0	18.0	
69	58.5147236667	11.333333	47.1813906667	620.666666667	598.0	19.3333333333	
70	56.3328996667	10.1666666667	46.1662333333	618.333333333	598.0	16.6666666667	
71	58.7944893333	11.1666666667	47.6278223333	614.333333333	592.0	17.3333333333	
72	57.4151316667	9.0	48.4151316667	543.0	525.0	43.6666666667	
73	60.088184	9.16666666667	50.9215173333	602.666666667	584.333333333	24.0	
74	57.5742653333	10.1666666667	47.4075983333	679.0	658.666666667	16.3333333333	
75	58.8850286667	9.5	49.3850286667	657.333333333	638.333333333	16.3333333333	
76	58.2757843333	7.49999966667	50.7757846667	655.333333333	640.333333333	15.0	
77	57.751016	10.6666666667	47.0843493333	687.333333333	666.0	23.0	
78	56.796635	7.0	49.796635	595.666666667	581.666666667	17.3333333333	
79	57.2115233333	7.66666666667	49.5448566667	516.666666667	501.333333333	4.33333333333	
80	59.207963	8.83333333333	50.3746296667	623.333333333	605.666666667	17.0	
81	57.899128	5.33333333333	52.5657946667	508.0	497.333333333	15.0	
82	57.7830203333	8.49999966667	49.283021	601.0	584.0	14.0	
83	58.537229	8.00000033333	50.537229	605.333333333	589.333333333	1.0	
84	59.5065583333	8.33333333333	51.1732246667	606.666666667	590.0	17.3333333333	
85	61.547993	11.8333333333	49.7146596667	547.666666667	524.0	17.6666666667	
86	62.626581	10.3333333333	52.2932476667	616.666666667	596.0	18.3333333333	
87	62.9782986667	11.0000003333	51.978298	579.666666667	557.666666667	16.6666666667	
88	61.004213	8.99999966667	52.004213	598.333333333	580.333333333	18.3333333333	
89	61.046317	9.83333333333	51.212984	559.0	539.333333333	18.3333333333	
90	59.5200936667	7.5	52.0200936667	571.0	556.0	19.0	
91	60.5273393333	10.666667	49.8606726667	643.666666667	622.333333333	17.0	
92	60.6370766667	8.66666666667	51.9704103333	551.333333333	534.0	17.3333333333	
93	61.4798806667	10.0	51.479881	636.0	616.0	17.3333333333	
94	58.8480593333	9.33333333333	49.5147266667	614.0	595.333333333	17.3333333333	
95	61.0039143333	10.1666666667	50.8372476667	610.666666667	590.333333333	14.3333333333	
96	61.061922	10.5	50.561922	592.666666667	571.666666667	18.6666666667	
97	60.0324346667	8.66666666667	51.365768	594.333333333	577.0	20.6666666667	
98	60.6934753333	7.33333333333	53.3601416667	518.666666667	504.0	36.0	
99	59.399585	9.33333333333	50.066252	608.0	589.333333333	14.6666666667	
100	58.5098646667	8.5	50.0098646667	623.0	606.0	16.0	
101	61.49293	10.3333333333	51.1595966667	570.333333333	549.666666667	15.0	
102	60.4963986667	10.0	50.4963986667	623.333333333	603.333333333	13.6666666667	
103	60.1629326667	10.5	49.6629326667	645.0	624.0	12.0	
104	61.3515493333	10.5000003333	50.8515486667	573.333333333	552.333333333	13.3333333333	
105	60.6994843333	9.0	51.6994843333	535.0	517.0	23.0	
106	60.73244	9.0	51.73244	592.666666667	574.666666667	23.3333333333	
107	63.0988223333	8.83333333333	54.2654893333	555.333333333	537.666666667	18.6666666667	
108	60.6595913333	10.8333333333	49.8262583333	595.333333333	573.666666667	22.0	
109	60.6285183333	12.3333333333	48.295185	649.0	624.333333333	14.0	
110	59.534947	9.16666666667	50.3682803333	570.0	551.666666667	13.0	
111	59.51475	9.33333333333	50.1814166667	612.0	593.333333333	14.0	
112	60.474897	9.99999966667	50.4748973333	594.333333333	574.333333333	9.0	
113	59.0983666667	8.33333333333	50.7650336667	554.333333333	537.666666667	14.0	
114	60.7977746667	9.5	51.2977746667	589.0	570.0	21.0	
115	60.9460713333	9.16666666667	51.7794046667	535.333333333	517.0	30.0	
116	60.6073623333	8.0	52.6073626667	593.333333333	577.333333333	24.6666666667	
117	61.362154	10.3333333333	51.0288206667	558.333333333	537.666666667	17.3333333333	
118	62.1975813333	11.3333333333	50.8642476667	632.333333333	609.666666667	14.6666666667	
119	62.425586	10.0	52.425586	625.666666667	605.666666667	12.0	
120	63.439453	11.6666666667	51.772786	598.333333333	575.0	11.6666666667	
121	61.9337093333	9.83333333333	52.1003763333	639.333333333	619.666666667	5.33333333333	
122	61.733482	10.1666666667	51.566815	619.666666667	599.333333333	5.0	
123	62.5698006667	10.8333333333	51.7364673333	550.333333333	528.666666667	4.33333333333	
124	60.147397	9.66666666667	50.4807303333	529.666666667	510.333333333	25.0	
125	63.2773253333	12.5	50.7773253333	590.333333333	565.333333333	12.0	
126	60.759878	8.833333	51.9265443333	546.666666667	529.0	6.66666666667	
127	63.8856136667	10.6666666667	53.218947	535.666666667	514.333333333	4.33333333333	
128	62.7429153333	8.16666666667	54.5762486667	552.0	535.666666667	6.33333333333	
129	59.9491386667	8.33333333333	51.615805	669.333333333	652.666666667	2.33333333333	
130	63.6854926667	7.50000033333	56.1854923333	551.0	536.0	10.3333333333	
131	64.8662176667	10.8333333333	54.0328843333	633.666666667	612.0	12.0	
132	61.2078476667	8.16666666667	53.0411813333	644.666666667	628.333333333	7.66666666667	
133	62.9544113333	7.666667	55.287745	525.666666667	510.333333333	8.0	
134	65.039691	12.1666666667	52.8730243333	580.0	555.666666667	13.3333333333	
135	64.3374156667	11.1666666667	53.1707486667	630.333333333	608.0	0.0	
136	66.423471	13.8333333333	52.5901376667	605.333333333	577.666666667	5.0	
137	63.3801676667	9.66666633333	53.7135013333	687.666666667	668.333333333	4.33333333333	
138	63.836602	11.8333333333	52.0032686667	720.666666667	697.0	5.66666666667	
139	70.3374863333	15.3333333333	55.0041526667	625.333333333	594.666666667	4.0	
140	63.8002666667	11.5	52.3002663333	635.333333333	612.333333333	11.6666666667	
141	64.374303	12.6666666667	51.7076363333	536.666666667	511.333333333	6.66666666667	
142	65.7093516667	12.4999996667	53.209352	711.333333333	686.333333333	7.33333333333	
143	66.9432793333	13.9999996667	52.94328	746.0	718.0	3.66666666667	
144	64.5165436667	16.0	48.5165436667	579.666666667	547.666666667	10.0	
145	63.9790596667	11.4999996667	52.47906	710.666666667	687.666666667	5.0	
146	70.836768	14.166667	56.670101	532.333333333	504.0	10.0	
147	64.7797116667	8.83333333333	55.9463783333	652.0	634.333333333	10.3333333333	
148	64.1738383333	10.8333333333	53.340505	713.0	691.333333333	2.66666666667	
149	66.3551843333	12.1666666667	54.1885176667	628.333333333	604.0	8.66666666667	
150	64.1559633333	11.0	53.155963	721.0	699.0	5.66666666667	
151	65.386921	10.166667	55.220254	689.333333333	669.0	10.3333333333	
152	66.0478126667	11.6666663333	54.381146	686.666666667	663.333333333	9.0	
153	63.1779326667	12.0	51.1779326667	702.666666667	678.666666667	8.66666666667	
154	63.3881816667	11.6666666667	51.721515	599.0	575.666666667	7.66666666667	
155	64.7833166667	12.1666663333	52.61665	696.666666667	672.333333333	7.0	
156	65.86086	13.6666666667	52.1941933333	618.333333333	591.0	18.6666666667	
157	66.710856	11.3333333333	55.3775223333	590.0	567.333333333	15.3333333333	
158	67.655486	13.333333	54.3221526667	506.0	479.333333333	18.0	
159	65.6691216667	12.3333336667	53.335788	575.666666667	551.0	24.6666666667	
160	68.1044093333	11.5000003333	56.6044086667	677.0	654.0	8.0	
161	64.9994786667	12.9999996667	51.999479	591.666666667	565.666666667	22.3333333333	
162	65.7090363333	11.6666666667	54.0423696667	575.666666667	552.333333333	18.3333333333	
163	65.5271213333	10.5	55.0271213333	646.333333333	625.333333333	17.0	
164	66.4770636667	12.5	53.9770633333	513.666666667	488.666666667	11.6666666667	
165	63.4618836667	9.16666666667	54.295217	550.333333333	532.0	9.66666666667	
166	64.774847	12.8333333333	51.9415136667	623.0	597.333333333	13.6666666667	
167	68.6640696667	14.0	54.6640696667	656.0	628.0	11.0	
168	66.9142643333	15.1666663333	51.747598	649.666666667	619.333333333	16.0	
169	66.441477	13.0	53.441477	543.333333333	517.333333333	11.6666666667	
170	66.8211463333	12.1666666667	54.6544793333	665.333333333	641.0	12.3333333333	
171	68.6470526667	15.4999996667	53.1470526667	616.666666667	585.666666667	15.0	
172	70.3172096667	16.3333333333	53.9838763333	588.0	555.333333333	12.6666666667	
173	70.1128423333	15.6666663333	54.446176	695.0	663.666666667	7.33333333333	
174	70.4879396667	17.0	53.4879396667	705.333333333	671.333333333	7.33333333333	
175	70.5404983333	15.9999996667	54.5404986667	661.0	629.0	7.33333333333	
176	69.7630523333	18.1666666667	51.5963856667	737.666666667	701.333333333	6.0	
177	68.4591193333	16.6666666667	51.7924526667	718.666666667	685.333333333	11.3333333333	
178	69.809331	14.8333333333	54.9759976667	615.0	585.333333333	17.3333333333	
179	75.3187356667	19.8333336667	55.485402	658.666666667	619.0	13.6666666667	
180	73.7098273333	19.1666666667	54.5431606667	640.666666667	602.333333333	12.6666666667	
181	76.8485413333	22.666666	54.1818753333	654.0	608.666666667	14.0	
182	76.836376	20.4999996667	56.3363763333	612.0	571.0	11.0	
183	78.2641773333	21.6666666667	56.5975106667	679.666666667	636.333333333	12.0	
184	78.8037693333	22.8333333333	55.970436	677.666666667	632.0	11.3333333333	
185	76.946997	21.5	55.4469973333	637.0	594.0	13.3333333333	
186	77.0681923333	20.5000003333	56.568192	652.333333333	611.333333333	12.6666666667	
187	80.0506143333	23.8333333333	56.217281	646.0	598.333333333	14.0	
188	77.7474146667	20.3333333333	57.414081	614.666666667	574.0	11.3333333333	
189	75.9350923333	20.1666663333	55.7684256667	676.0	635.666666667	9.33333333333	
