Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	42.021082	10.000000	32.021082	600	580	0
2	52.826061	20.000000	32.826061	600	560	0
3	53.915092	17.000000	36.915092	600	566	0
4	46.502552	10.000000	36.502553	600	580	0
5	47.773427	10.000000	37.773427	600	580	0
6	49.948132	10.000000	39.948131	600	580	0
7	56.087068	10.000000	46.087069	600	580	0
8	56.237421	10.000000	46.237421	600	580	0
9	59.666813	20.000000	39.666813	600	560	0
10	51.325810	10.000000	41.325810	600	580	0
11	56.373741	15.000000	41.373741	600	570	0
12	57.767082	15.000000	42.767082	600	570	0
13	58.317056	15.000001	43.317056	600	570	0
14	59.597080	15.000000	44.597080	600	570	0
15	49.555896	8.499999	41.055897	600	583	0
16	52.241987	10.000000	42.241987	600	580	0
17	48.090048	8.000000	40.090048	600	584	0
18	53.706325	14.500000	39.206326	600	571	0
19	61.994890	22.500000	39.494889	600	555	0
20	56.016734	13.000000	43.016733	600	574	0
21	55.586477	15.000001	40.586476	600	570	0
22	49.103998	5.000000	44.103998	600	590	0
23	53.928956	15.000000	38.928955	600	570	0
24	57.516870	20.000000	37.516870	600	560	0
25	48.478419	10.000000	38.478419	600	580	0
26	55.543207	15.000000	40.543207	534	504	0
27	50.954095	5.000000	45.954095	120	110	1
28	53.053397	5.000000	48.053396	560	550	3
29	60.125984	14.000000	46.125984	600	572	0
30	55.387051	9.999999	45.387052	195	175	3
31	57.281482	10.000001	47.281482	559	539	1
32	51.701378	5.000000	46.701378	600	590	0
33	56.439510	9.999999	46.439510	548	528	3
34	63.718078	25.000000	38.718078	600	550	0
35	58.516694	15.000000	43.516694	600	570	0
36	52.747037	10.000000	42.747037	600	580	0
37	54.178378	13.000000	41.178378	600	574	0
38	60.313911	15.000000	45.313911	600	570	0
39	55.617687	15.000000	40.617687	600	570	0
40	61.305890	8.500000	52.805890	695	678	0
41	82.014826	38.500000	43.514825	600	523	0
42	77.439904	31.000000	46.439903	600	538	0
43	84.623117	42.500000	42.123117	600	515	0
44	76.313312	37.500000	38.813313	600	525	0
45	70.541929	24.000000	46.541929	600	552	0
46	79.331344	35.500000	43.831344	600	529	0
47	74.545011	30.500000	44.045012	600	539	0
48	83.270273	36.500001	46.770272	600	527	0
49	74.592591	28.500001	46.092590	600	543	0
50	80.848744	39.000001	41.848743	600	522	0
51	80.159055	30.000001	50.159054	486	426	1
52	73.042149	30.000000	43.042149	600	540	0
53	83.877276	40.000000	43.877276	271	191	83
54	75.100065	31.000000	44.100065	222	160	89
55	72.328789	24.499999	47.828790	618	569	0
56	73.630574	30.000000	43.630573	600	540	0
57	88.486459	46.000002	42.486457	364	272	23
58	73.901038	27.000000	46.901038	600	546	0
59	76.120690	35.000001	41.120689	600	530	0
60	78.095888	32.000001	46.095887	335	271	26
61	81.765335	37.500001	44.265334	616	541	0
62	86.527928	40.000000	46.527928	616	536	0
63	75.231870	33.000000	42.231869	600	534	0
64	71.950122	28.500001	43.450121	320	263	38
65	82.569543	39.499999	43.069543	600	521	0
66	75.175031	29.000001	46.175031	600	542	0
67	75.130151	30.000000	45.130151	600	540	0
