Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	46.873112	2.500000	44.373112	600	595	0
2	51.708857	1.500000	50.208857	600	597	1
3	52.745642	6.500000	46.245642	395	382	0
4	56.601897	4.000000	52.601897	600	592	3
5	58.004497	8.000000	50.004497	570	554	6
6	51.598028	2.500000	49.098028	600	595	0
7	56.784828	4.000000	52.784828	600	592	1
8	55.011263	6.000000	49.011263	570	558	7
9	54.806058	5.000000	49.806058	600	590	0
10	53.556676	4.500000	49.056676	600	591	1
11	56.132687	4.500000	51.632686	600	591	0
12	54.369164	5.500000	48.869164	600	589	0
13	53.786832	6.000000	47.786832	600	588	1
14	54.265714	5.000000	49.265714	600	590	0
15	59.862172	7.000000	52.862173	600	586	0
16	54.246586	6.500000	47.746586	600	587	2
17	55.473668	7.000000	48.473667	570	556	6
18	56.695636	8.500000	48.195636	622	605	1
19	58.196643	8.000000	50.196643	540	524	1
20	56.028053	8.000000	48.028054	540	524	21
21	56.301841	2.500000	53.801841	600	595	0
22	55.036662	5.500000	49.536662	600	589	0
23	55.339654	7.000000	48.339654	390	376	2
24	58.530692	4.500000	54.030693	600	591	0
25	58.195954	8.000000	50.195954	600	584	0
26	55.866680	4.000000	51.866680	600	592	0
27	61.888468	14.500000	47.388468	480	451	26
28	61.139189	11.000000	50.139188	600	578	0
29	60.575179	7.500000	53.075179	600	585	0
30	61.339566	9.000000	52.339566	450	432	9
31	64.619840	9.500000	55.119840	600	581	0
32	63.943963	6.000000	57.943963	600	588	0
33	67.486433	11.500000	55.986433	600	577	0
34	70.126105	14.500000	55.626104	600	571	0
35	69.767310	10.000001	59.767309	600	580	0
36	70.874776	13.000000	57.874776	600	574	0
37	72.654171	11.500000	61.154171	600	577	0
38	69.066284	8.000000	61.066284	541	525	5
39	71.058308	10.000000	61.058308	600	580	0
40	70.313423	11.500000	58.813423	600	577	0
41	74.877166	15.500000	59.377166	600	569	0
42	71.238108	13.500000	57.738108	600	573	0
43	70.195069	6.500000	63.695070	600	587	0
44	68.277436	11.500001	56.777435	600	577	0
45	65.817761	10.000000	55.817761	600	580	0
46	66.686504	9.000000	57.686504	600	582	0
47	69.765776	9.000000	60.765777	600	582	0
48	71.520884	16.500000	55.020884	600	567	0
49	68.617680	9.000000	59.617680	600	582	0
50	70.382198	14.000000	56.382198	600	572	0
51	70.350777	9.500000	60.850777	600	581	0
52	71.358122	13.000001	58.358121	440	414	0
53	73.449287	20.499999	52.949287	526	485	0
54	79.606383	20.500000	59.106383	492	451	0
55	72.757767	20.500000	52.257767	573	532	0
56	74.900972	16.000000	58.900972	572	540	0
57	75.518112	18.999999	56.518112	487	449	0
58	79.520559	20.500000	59.020560	455	414	0
59	75.630533	17.000000	58.630533	472	438	0
60	79.065761	24.500000	54.565761	543	494	0
61	76.471679	18.499999	57.971680	463	426	0
62	78.160194	20.000000	58.160194	475	435	0
63	78.415775	20.500000	57.915775	518	477	0
64	76.607855	16.000000	60.607855	489	457	0
65	73.261695	17.000000	56.261695	516	482	0
66	77.961190	16.500000	61.461191	573	540	0
67	77.329189	18.500001	58.829188	466	429	0
68	79.721499	23.000000	56.721499	513	467	0
69	77.851540	19.500000	58.351539	520	481	0
70	78.831772	22.500000	56.331772	573	528	0
71	79.643049	22.000001	57.643048	544	500	0
72	74.699489	15.000000	59.699489	490	460	0
73	73.146554	15.500000	57.646554	436	405	0
74	78.242927	19.000000	59.242926	584	546	6
75	80.754803	22.500000	58.254803	514	469	0
76	77.178415	22.000000	55.178415	508	464	3
77	81.341809	25.000000	56.341808	570	520	0
78	85.969414	26.000000	59.969414	666	614	2
79	80.615650	22.500000	58.115650	514	469	7
80	83.863782	27.500000	56.363782	517	462	5
81	82.797674	24.500000	58.297674	590	541	6
82	83.862348	25.000000	58.862348	542	492	0
83	91.045060	32.000000	59.045060	666	602	3
84	81.719754	22.500000	59.219754	517	472	0
85	90.115112	31.000000	59.115111	620	558	5
86	87.798744	29.500000	58.298743	592	533	5
87	84.353113	26.000000	58.353113	565	513	4
88	86.763442	29.000000	57.763442	587	529	4
89	84.884278	28.500000	56.384278	520	463	3
90	86.107265	26.500000	59.607265	517	464	3
91	88.010271	29.000000	59.010271	531	473	4
92	84.053294	27.500001	56.553294	445	390	2
93	87.149292	28.000000	59.149292	646	590	4
94	79.934845	23.000000	56.934845	526	480	5
95	91.518612	31.500000	60.018612	568	505	5
96	85.917366	27.500000	58.417366	564	509	2
