Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
259	278.970279	226.000002	52.970277	946	494	7
260	288.157759	228.499999	59.657760	961	504	2
261	268.762715	210.500001	58.262714	1,008	587	2
262	294.782168	233.499997	61.282171	959	492	1
263	280.594657	219.500000	61.094658	921	482	2
264	288.485287	229.999999	58.485288	992	532	1
265	289.761909	234.500001	55.261907	1,030	561	1
266	310.151626	247.999999	62.151627	977	481	3
267	286.145189	228.500000	57.645189	950	493	1
268	301.347221	245.500000	55.847221	940	449	3
269	273.091436	222.000001	51.091435	947	503	4
270	277.913598	227.000002	50.913596	920	466	4
271	300.785376	243.000001	57.785375	983	497	1
