Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
325	341.372459	284.999999	56.372461	931	361	3
326	316.688939	262.000000	54.688940	875	351	5
327	347.333484	286.500001	60.833483	882	309	1
328	322.309927	264.000001	58.309926	844	316	3
329	328.460896	270.500000	57.960897	929	388	3
330	351.366772	293.999997	57.366776	996	408	2
331	336.269760	281.000002	55.269758	994	432	3
332	313.359932	258.499998	54.859934	891	374	1
333	342.424908	283.500005	58.924903	922	355	0
334	329.740548	271.500000	58.240548	893	350	2
335	348.331233	288.500002	59.831231	950	373	1
336	364.239149	308.000001	56.239149	1,094	478	5
337	366.739416	306.499997	60.239418	1,055	442	8
338	343.495133	288.000001	55.495132	1,046	470	7
339	368.395522	310.000003	58.395518	1,129	509	3
340	371.535442	314.000002	57.535439	1,172	544	3
341	351.168479	294.500002	56.668477	1,177	588	3
342	354.713380	299.999994	54.713386	1,095	495	0
343	369.891282	311.000002	58.891280	1,071	449	3
344	366.879836	308.500002	58.379833	1,070	453	1
345	363.279663	304.999999	58.279664	1,134	524	0
346	360.897585	305.000004	55.897581	1,063	453	0
347	354.260574	297.999999	56.260575	1,089	493	8
348	351.610805	293.500002	58.110802	1,109	522	5
349	366.475154	308.500001	57.975154	1,120	503	1
350	344.704434	289.500000	55.204434	1,124	545	1
351	348.655943	295.499999	53.155944	1,062	471	2
352	354.413468	296.499998	57.913470	1,045	452	8
353	356.022346	303.000001	53.022345	1,128	522	1
354	356.808292	298.500001	58.308291	1,116	519	5
355	363.363415	305.499996	57.863418	1,028	417	4
356	357.366674	300.499998	56.866676	1,153	552	1
357	352.520649	297.000001	55.520648	1,097	503	4
358	348.798870	291.500000	57.298870	1,149	566	1
359	379.319040	322.999999	56.319041	1,178	532	0
360	365.836510	306.999999	58.836511	1,094	480	5
361	364.023322	307.500000	56.523322	1,069	454	6
362	357.534758	300.000001	57.534757	1,156	556	3
363	355.218015	300.000000	55.218015	1,086	486	3
364	366.413063	309.999999	56.413064	1,185	565	6
365	359.803955	302.500001	57.303954	1,078	473	6
366	357.770629	302.500000	55.270629	1,085	480	4
367	367.721474	308.999997	58.721477	1,036	418	2
368	359.374006	304.000000	55.374006	1,090	482	4
369	349.361267	295.499999	53.861269	1,155	564	2
370	380.639645	323.499999	57.139645	1,104	457	1
371	376.832524	318.000000	58.832525	1,080	444	2
372	347.906826	291.500004	56.406822	1,065	482	4
373	364.142283	307.500002	56.642281	1,100	485	2
374	360.803371	302.000001	58.803370	1,123	519	5
375	370.695564	314.000002	56.695563	1,043	415	6
376	377.572182	318.999999	58.572182	1,103	465	3
377	357.161571	301.500004	55.661567	1,088	485	5
378	357.408931	301.500002	55.908929	1,069	466	4
379	368.891096	311.500001	57.391095	1,058	435	4
380	353.694544	299.500000	54.194544	1,093	494	4
381	365.010109	310.499999	54.510110	1,133	512	3
382	347.879517	293.000002	54.879515	1,118	532	3
383	360.787527	302.000000	58.787528	1,091	487	3
384	356.934147	302.999998	53.934149	1,133	527	4
385	370.547610	312.499997	58.047613	1,034	409	8
386	361.769415	305.500001	56.269414	1,149	538	3
387	365.973772	313.999998	51.973775	1,169	541	4
388	377.643550	317.500001	60.143549	1,042	407	4
389	360.610265	304.000002	56.610263	1,150	542	1
390	371.699681	313.500000	58.199681	1,141	514	1
391	365.712488	310.499999	55.212489	1,086	465	2
392	359.249366	303.000000	56.249366	1,079	473	4
393	360.194427	304.000002	56.194425	1,087	479	3
394	354.283716	299.500001	54.783715	1,124	525	3
395	357.107378	303.000000	54.107378	1,183	577	5
396	358.024252	297.999998	60.024255	1,076	480	3
397	357.480321	303.500003	53.980318	1,024	417	7
398	365.254147	306.000000	59.254147	1,110	498	1
399	355.772955	300.500002	55.272953	1,141	540	2
400	376.086208	319.000000	57.086207	1,034	396	7
401	369.656943	309.999994	59.656949	956	336	7
402	351.373044	294.500003	56.873041	1,192	603	2
403	390.753816	332.500002	58.253815	1,168	503	1
404	364.747807	308.499996	56.247811	1,019	402	5
405	374.745510	316.000001	58.745509	1,009	377	8
406	362.007420	309.499999	52.507421	1,194	575	2
407	388.846268	331.999999	56.846269	1,154	490	2
408	362.002047	305.500002	56.502045	1,061	450	3
409	368.612575	313.000000	55.612575	1,156	530	2
410	372.800877	311.999999	60.800878	1,036	412	5
411	360.092575	304.499998	55.592577	1,143	534	5
412	357.004407	300.500000	56.504407	1,132	531	0
413	378.173216	324.500001	53.673215	1,197	548	0
414	365.243822	303.499997	61.743826	982	375	7
415	363.699956	308.000003	55.699953	1,060	444	3
416	374.694325	317.000001	57.694324	1,030	396	6
417	364.911353	307.999998	56.911354	1,076	460	5
418	378.203441	317.500002	60.703439	1,098	463	4
419	384.298094	326.500001	57.798093	1,103	450	4
420	362.271612	306.500003	55.771610	1,091	478	1
421	390.700687	333.999997	56.700690	1,075	407	2
422	366.304650	309.500001	56.804649	1,089	470	1
423	375.045131	319.500000	55.545131	1,126	487	2
424	366.053443	310.500004	55.553439	1,059	438	5
425	361.033019	301.999998	59.033021	1,067	463	1
426	368.051611	309.500002	58.551609	1,027	408	7
427	369.486260	313.999997	55.486263	1,170	542	1
428	354.150639	296.500001	57.650637	1,078	485	6
429	352.736337	294.500000	58.236337	1,105	516	2
430	353.897336	296.999998	56.897338	1,045	451	3
431	373.238074	313.999998	59.238076	1,202	574	3
432	360.755413	302.500000	58.255413	1,095	490	6
433	370.475160	311.499998	58.975163	1,116	493	0
434	382.099454	325.000000	57.099454	1,176	526	2
435	377.307442	316.499996	60.807446	1,077	444	3
436	372.811362	319.000004	53.811359	1,189	551	3
437	365.852749	310.000002	55.852747	1,106	486	6
438	376.706321	316.000000	60.706322	1,043	411	8
439	369.939578	311.000001	58.939578	1,070	448	3
440	373.184017	315.000002	58.184016	1,128	498	4
441	363.644498	306.500002	57.144495	1,129	516	4
442	376.343987	316.999999	59.343989	1,102	468	3
